ip_item_no | ip_value
0|//item.ssgcdn.com/74/35/80/item/1000065803574_i1_290.jpg
1|//item.ssgcdn.com/94/09/98/item/1000049980994_i1_290.jpg
2|//item.ssgcdn.com/42/94/90/item/1000063909442_i1_290.jpg
3|//item.ssgcdn.com/69/65/59/item/1000065596569_i1_290.jpg
4|//item.ssgcdn.com/00/34/27/item/1000052273400_i1_290.jpg
5|//item.ssgcdn.com/91/67/23/item/1000048236791_i1_290.jpg
6|//item.ssgcdn.com/51/74/65/item/1000051657451_i1_290.jpg
7|//item.ssgcdn.com/52/20/90/item/1000066902052_i1_290.jpg
8|//item.ssgcdn.com/68/57/71/item/1000064715768_i1_290.jpg
9|//item.ssgcdn.com/68/68/63/item/1000064636868_i1_290.jpg
10|//item.ssgcdn.com/35/34/39/item/1000067393435_i1_290.jpg
11|//item.ssgcdn.com/72/51/26/item/1000064265172_i1_290.jpg
12|//item.ssgcdn.com/19/30/49/item/1000064493019_i1_290.jpg
13|//item.ssgcdn.com/50/81/94/item/1000065948150_i1_290.jpg
14|//item.ssgcdn.com/49/83/77/item/1000062778349_i1_290.jpg
15|//item.ssgcdn.com/03/34/91/item/1000065913403_i1_290.jpg
16|//item.ssgcdn.com/97/99/41/item/1000060419997_i1_290.jpg
17|//item.ssgcdn.com/88/94/65/item/1000040659488_i1_290.jpg
18|//item.ssgcdn.com/83/53/43/item/1000044435383_i1_290.jpg
19|//item.ssgcdn.com/21/78/16/item/1000051167821_i1_290.jpg
20|//item.ssgcdn.com/23/26/09/item/1000059092623_i1_290.jpg
21|//item.ssgcdn.com/26/25/91/item/1000068912526_i1_290.jpg
22|//item.ssgcdn.com/37/78/47/item/1000066477837_i1_290.jpg
23|//item.ssgcdn.com/00/04/59/item/1000065590400_i1_290.jpg
24|//item.ssgcdn.com/67/40/96/item/1000065964067_i1_290.jpg
25|//item.ssgcdn.com/46/62/66/item/1000063666246_i1_290.jpg
26|//item.ssgcdn.com/88/22/23/item/1000045232288_i1_290.jpg
27|//item.ssgcdn.com/84/44/21/item/1000066214484_i1_290.jpg
28|//item.ssgcdn.com/84/02/14/item/1000060140284_i1_290.jpg
29|//item.ssgcdn.com/70/70/63/item/1000063637070_i1_290.jpg
30|//item.ssgcdn.com/69/43/60/item/1000064604369_i1_290.jpg
31|//item.ssgcdn.com/23/89/20/item/1000068208923_i1_290.jpg
32|//item.ssgcdn.com/16/95/19/item/1000050199516_i1_290.jpg
33|//item.ssgcdn.com/13/90/47/item/1000060479013_i1_290.jpg
34|//item.ssgcdn.com/26/66/14/item/1000049146626_i1_290.jpg
35|//item.ssgcdn.com/38/43/03/item/1000069034338_i1_290.jpg
36|//item.ssgcdn.com/41/93/09/item/1000065099341_i1_290.jpg
37|//item.ssgcdn.com/56/30/22/item/1000068223056_i1_290.jpg
38|//item.ssgcdn.com/43/29/21/item/1000066212943_i1_290.jpg
39|//item.ssgcdn.com/19/91/72/item/1000061729119_i1_290.jpg
40|//item.ssgcdn.com/36/35/91/item/1000065913536_i1_290.jpg
41|//item.ssgcdn.com/01/05/84/item/1000064840501_i1_290.jpg
42|//item.ssgcdn.com/74/45/60/item/1000037604574_i1_290.jpg
43|//item.ssgcdn.com/67/55/48/item/1000068485567_i1_290.jpg
44|//item.ssgcdn.com/62/77/25/item/1000063257762_i1_290.jpg
45|//item.ssgcdn.com/12/28/37/item/1000061372812_i1_290.jpg
46|//item.ssgcdn.com/44/56/98/item/1000060985644_i1_290.jpg
47|//item.ssgcdn.com/43/30/48/item/1000062483043_i1_290.jpg
48|//item.ssgcdn.com/16/59/91/item/1000068915916_i1_290.jpg
49|//item.ssgcdn.com/14/88/57/item/1000064578814_i1_290.jpg
50|//item.ssgcdn.com/58/26/07/item/1000065072658_i1_290.jpg
51|//item.ssgcdn.com/98/83/96/item/1000059968398_i1_290.jpg
52|//item.ssgcdn.com/77/50/83/item/1000034835077_i1_290.jpg
53|//item.ssgcdn.com/84/65/50/item/1000065506584_i1_290.jpg
54|//item.ssgcdn.com/17/04/47/item/1000065470417_i1_290.jpg
55|//item.ssgcdn.com/35/79/70/item/1000044707935_i1_290.jpg
56|//item.ssgcdn.com/77/26/52/item/1000055522677_i1_290.jpg
57|//item.ssgcdn.com/03/35/91/item/1000065913503_i1_290.jpg
58|//item.ssgcdn.com/45/36/88/item/1000064883645_i1_290.jpg
59|//item.ssgcdn.com/39/36/29/item/1000060293639_i1_290.jpg
60|//item.ssgcdn.com/71/73/82/item/1000066827371_i1_290.jpg
61|//item.ssgcdn.com/22/35/37/item/1000064373522_i1_290.jpg
62|//item.ssgcdn.com/88/34/91/item/1000065913488_i1_290.jpg
63|//item.ssgcdn.com/02/62/04/item/1000068046202_i1_290.jpg
64|//item.ssgcdn.com/27/54/48/item/1000062485427_i1_290.jpg
