ip_item_no | ip_value
0|//item.ssgcdn.com/84/02/14/item/1000060140284_i2_290.jpg
1|//item.ssgcdn.com/75/51/99/item/1000042995175_i2_290.jpg
2|//item.ssgcdn.com/88/94/65/item/1000040659488_i2_290.jpg
3|//item.ssgcdn.com/07/71/64/item/1000066647107_i2_290.jpg
4|//item.ssgcdn.com/58/26/07/item/1000065072658_i2_290.jpg
6|//item.ssgcdn.com/13/71/10/item/1000064107113_i2_290.jpg
8|//item.ssgcdn.com/92/55/93/item/1000035935592_i2_290.jpg
9|//item.ssgcdn.com/99/10/19/item/1000066191099_i2_290.jpg
10|//item.ssgcdn.com/06/39/63/item/1000066633906_i2_290.jpg
13|//item.ssgcdn.com/55/28/40/item/1000065402855_i2_290.jpg
14|//item.ssgcdn.com/74/35/80/item/1000065803574_i2_290.jpg
16|//item.ssgcdn.com/79/17/26/item/1000050261779_i2_290.jpg
17|//item.ssgcdn.com/83/53/43/item/1000044435383_i8_290.jpg
20|//item.ssgcdn.com/65/41/09/item/1000063094165_i2_290.jpg
22|//item.ssgcdn.com/06/92/84/item/1000050849206_i2_290.jpg
24|//item.ssgcdn.com/52/20/90/item/1000066902052_i2_290.jpg
25|//item.ssgcdn.com/49/17/69/item/1000058691749_i2_290.jpg
26|//item.ssgcdn.com/30/22/49/item/1000065492230_i2_290.jpg
27|//item.ssgcdn.com/47/74/82/item/1000049827447_i2_290.jpg
28|//item.ssgcdn.com/67/55/48/item/1000068485567_i7_290.jpg
29|//item.ssgcdn.com/02/18/39/item/1000035391802_i2_290.jpg
30|//item.ssgcdn.com/30/62/95/item/1000052956230_i2_290.jpg
32|//item.ssgcdn.com/09/29/37/item/1000068372909_i2_290.jpg
33|//item.ssgcdn.com/43/30/48/item/1000062483043_i2_290.jpg
34|//item.ssgcdn.com/20/87/22/item/1000067228720_i2_290.jpg
36|//item.ssgcdn.com/27/54/48/item/1000062485427_i2_290.jpg
37|//item.ssgcdn.com/67/29/88/item/1000039882967_i2_290.jpg
38|//item.ssgcdn.com/44/43/53/item/1000040534344_i2_290.jpg
39|//item.ssgcdn.com/58/82/36/item/1000035368258_i2_290.jpg
40|//item.ssgcdn.com/28/62/55/item/1000064556228_i2_290.jpg
41|//item.ssgcdn.com/98/83/96/item/1000059968398_i2_290.jpg
42|//item.ssgcdn.com/17/62/63/item/1000066636217_i2_290.jpg
43|//item.ssgcdn.com/52/50/95/item/1000033955052_i2_290.jpg
47|//item.ssgcdn.com/36/87/57/item/1000033578736_i2_290.jpg
50|//item.ssgcdn.com/88/46/57/item/1000068574688_i2_290.jpg
51|//item.ssgcdn.com/84/65/50/item/1000065506584_i2_290.jpg
53|//item.ssgcdn.com/38/55/50/item/1000064505538_i2_290.jpg
54|//item.ssgcdn.com/14/46/91/item/1000068914614_i2_290.jpg
55|//item.ssgcdn.com/84/15/69/item/1000065691584_i2_290.jpg
56|//item.ssgcdn.com/95/50/42/item/1000043425095_i2_290.jpg
57|//item.ssgcdn.com/19/03/02/item/1000064020319_i2_290.jpg
58|//item.ssgcdn.com/14/86/02/item/1000061028614_i2_290.jpg
59|//item.ssgcdn.com/93/14/84/item/1000067841493_i2_290.jpg
60|//item.ssgcdn.com/26/52/51/item/1000049515226_i2_290.jpg
61|//item.ssgcdn.com/21/96/04/item/1000064049621_i2_290.jpg
62|//item.ssgcdn.com/18/56/66/item/1000063665618_i2_290.jpg
63|//item.ssgcdn.com/43/68/41/item/1000065416843_i2_290.jpg
64|//item.ssgcdn.com/70/78/67/item/1000034677870_i3_290.jpg
65|//item.ssgcdn.com/19/91/72/item/1000061729119_i2_290.jpg
66|//item.ssgcdn.com/11/36/16/item/1000041163611_i2_290.jpg
67|//item.ssgcdn.com/75/74/52/item/1000068527475_i7_290.jpg
68|//item.ssgcdn.com/26/30/47/item/1000065473026_i2_290.jpg
71|//item.ssgcdn.com/09/65/38/item/1000067386509_i2_290.jpg
72|//item.ssgcdn.com/12/28/37/item/1000061372812_i2_290.jpg
73|//item.ssgcdn.com/82/17/56/item/1000067561782_i2_290.jpg
74|//item.ssgcdn.com/76/05/58/item/1000066580576_i2_290.jpg
77|//item.ssgcdn.com/88/80/61/item/1000065618088_i2_290.jpg
80|//item.ssgcdn.com/45/29/07/item/1000064072945_i2_290.jpg
81|//item.ssgcdn.com/35/86/09/item/1000063098635_i2_290.jpg
82|//item.ssgcdn.com/54/61/08/item/1000059086154_i2_290.jpg
83|//item.ssgcdn.com/59/54/44/item/1000067445459_i2_290.jpg
85|//item.ssgcdn.com/30/16/99/item/1000050991630_i2_290.jpg
86|//item.ssgcdn.com/81/88/13/item/1000068138881_i2_290.jpg
87|//item.ssgcdn.com/46/11/84/item/1000064841146_i2_290.jpg
88|//item.ssgcdn.com/13/90/40/item/1000043409013_i2_290.jpg
89|//item.ssgcdn.com/97/99/41/item/1000060419997_i2_290.jpg
90|//item.ssgcdn.com/39/34/52/item/1000050523439_i2_290.jpg
92|//item.ssgcdn.com/21/88/72/item/1000049728821_i2_290.jpg
93|//item.ssgcdn.com/21/95/76/item/1000044769521_i2_290.jpg
96|//item.ssgcdn.com/79/74/83/item/1000061837479_i2_290.jpg
98|//item.ssgcdn.com/22/72/84/item/1000067847222_i2_290.jpg
99|//item.ssgcdn.com/82/11/38/item/1000048381182_i2_290.jpg
101|//item.ssgcdn.com/43/87/57/item/1000033578743_i2_290.jpg
102|//item.ssgcdn.com/90/04/26/item/1000035260490_i2_290.jpg
103|//item.ssgcdn.com/99/55/64/item/1000066645599_i2_290.jpg
104|//item.ssgcdn.com/02/62/04/item/1000068046202_i2_290.jpg
108|//item.ssgcdn.com/14/03/20/item/1000065200314_i2_290.jpg
109|//item.ssgcdn.com/48/27/20/item/1000066202748_i2_290.jpg
