ip_item_no | ip_value
6003|//item.ssgcdn.com/92/64/06/item/1000069066492_i1_290.jpg
6004|//item.ssgcdn.com/42/31/06/item/1000069063142_i1_290.jpg
6005|//item.ssgcdn.com/31/94/67/item/1000052679431_i1_290.jpg
6006|//item.ssgcdn.com/12/65/96/item/1000053966512_i1_290.jpg
6007|//item.ssgcdn.com/14/79/19/item/1000069197914_i1_290.jpg
6008|//item.ssgcdn.com/73/80/44/item/1000060448073_i1_290.jpg
6009|//item.ssgcdn.com/14/18/70/item/1000052701814_i1_290.jpg
6010|//item.ssgcdn.com/34/17/70/item/1000051701734_i1_290.jpg
6011|//item.ssgcdn.com/09/31/06/item/1000069063109_i1_290.jpg
6012|//item.ssgcdn.com/86/37/06/item/1000069063786_i1_290.jpg
6013|//item.ssgcdn.com/49/63/72/item/1000052726349_i1_290.jpg
6014|//item.ssgcdn.com/76/34/98/item/1000061983476_i1_290.jpg
6015|//item.ssgcdn.com/03/04/04/item/1000054040403_i1_290.jpg
6016|//item.ssgcdn.com/39/93/60/item/1000035609339_i1_290.jpg
6017|//item.ssgcdn.com/62/61/24/item/1000069246162_i1_290.jpg
6018|//item.ssgcdn.com/42/33/98/item/1000061983342_i1_290.jpg
6019|//item.ssgcdn.com/94/63/18/item/1000060186394_i1_290.jpg
6020|//item.ssgcdn.com/16/15/47/item/1000066471516_i1_290.jpg
6021|//item.ssgcdn.com/60/13/29/item/1000068291360_i1_290.jpg
6022|//item.ssgcdn.com/53/78/19/item/1000069197853_i1_290.jpg
6023|//item.ssgcdn.com/43/92/04/item/1000057049243_i1_290.jpg
6024|//item.ssgcdn.com/95/32/05/item/1000064053295_i1_290.jpg
6025|//item.ssgcdn.com/81/84/28/item/1000052288481_i1_290.jpg
6026|//item.ssgcdn.com/54/20/23/item/1000061232054_i1_290.jpg
6027|//item.ssgcdn.com/08/11/74/item/1000053741108_i1_290.jpg
6028|//item.ssgcdn.com/32/03/72/item/1000065720332_i1_290.jpg
6029|//item.ssgcdn.com/27/20/03/item/1000033032027_i1_290.jpg
6030|//item.ssgcdn.com/33/13/38/item/1000064381333_i1_290.jpg
6031|//item.ssgcdn.com/62/45/15/item/1000035154562_i1_290.jpg
6032|//item.ssgcdn.com/64/23/07/item/1000069072364_i1_290.jpg
6033|//item.ssgcdn.com/40/92/61/item/1000052619240_i1_290.jpg
6034|//item.ssgcdn.com/38/03/51/item/1000064510338_i1_290.jpg
6035|//item.ssgcdn.com/31/43/22/item/1000064224331_i1_290.jpg
6036|//item.ssgcdn.com/80/63/07/item/1000064076380_i1_290.jpg
6037|//item.ssgcdn.com/57/82/30/item/1000053308257_i1_290.jpg
6038|//item.ssgcdn.com/85/40/15/item/1000035154085_i1_290.jpg
6039|//item.ssgcdn.com/26/06/29/item/1000057290626_i1_290.jpg
6040|//item.ssgcdn.com/00/89/02/item/1000055028900_i1_290.jpg
6041|//item.ssgcdn.com/04/95/32/item/1000037329504_i1_290.jpg
6042|//item.ssgcdn.com/43/95/49/item/1000061499543_i1_290.jpg
6043|//item.ssgcdn.com/79/93/80/item/1000053809379_i1_290.jpg
6044|//item.ssgcdn.com/20/90/14/item/1000054149020_i1_290.jpg
6045|//item.ssgcdn.com/89/55/02/item/1000064025589_i1_290.jpg
6046|//item.ssgcdn.com/80/55/02/item/1000064025580_i1_290.jpg
6047|//item.ssgcdn.com/24/34/23/item/1000062233424_i1_290.jpg
6048|//item.ssgcdn.com/46/46/16/item/1000066164646_i1_290.jpg
6049|//item.ssgcdn.com/65/48/44/item/1000055444865_i1_290.jpg
6050|//item.ssgcdn.com/68/68/73/item/1000052736868_i1_290.jpg
6051|//item.ssgcdn.com/83/55/02/item/1000064025583_i1_290.jpg
6052|//item.ssgcdn.com/34/50/78/item/1000055785034_i1_290.jpg
6053|//item.ssgcdn.com/83/26/50/item/1000058502683_i1_290.jpg
6054|//item.ssgcdn.com/35/50/78/item/1000055785035_i1_290.jpg
6055|//item.ssgcdn.com/20/98/31/item/1000054319820_i1_290.jpg
6056|//item.ssgcdn.com/45/40/80/item/1000054804045_i1_290.jpg
6057|//item.ssgcdn.com/85/48/59/item/1000054594885_i1_290.jpg
6058|//item.ssgcdn.com/72/22/05/item/1000069052272_i1_290.jpg
6059|//item.ssgcdn.com/28/48/44/item/1000055444828_i1_290.jpg
6060|//item.ssgcdn.com/87/02/85/item/1000058850287_i1_290.jpg
6061|//item.ssgcdn.com/51/24/09/item/1000060092451_i1_290.jpg
6062|//item.ssgcdn.com/46/34/24/item/1000052243446_i1_290.jpg
6063|//item.ssgcdn.com/86/63/67/item/1000038676386_i1_290.jpg
6064|//item.ssgcdn.com/04/85/45/item/1000059458504_i1_290.jpg
6065|//item.ssgcdn.com/88/37/18/item/1000067183788_i1_290.jpg
6066|//item.ssgcdn.com/66/07/11/item/1000054110766_i1_290.jpg
6067|//item.ssgcdn.com/40/37/86/item/1000064863740_i1_290.jpg
6068|//item.ssgcdn.com/38/82/27/item/1000069278238_i1_290.jpg
6069|//item.ssgcdn.com/90/12/11/item/1000054111290_i1_290.jpg
6070|//item.ssgcdn.com/78/98/46/item/1000059469878_i1_290.jpg
6071|//item.ssgcdn.com/18/21/70/item/1000066702118_i1_290.jpg
6072|//item.ssgcdn.com/43/23/70/item/1000066702343_i1_290.jpg
6073|//item.ssgcdn.com/35/43/74/item/1000063744335_i1_290.jpg
6074|//item.ssgcdn.com/84/12/80/item/1000057801284_i1_290.jpg
6075|//item.ssgcdn.com/01/13/11/item/1000055111301_i1_290.jpg
6076|//item.ssgcdn.com/86/20/70/item/1000066702086_i1_290.jpg
6077|//item.ssgcdn.com/31/30/24/item/1000052243031_i1_290.jpg
6078|//item.ssgcdn.com/24/21/70/item/1000066702124_i1_290.jpg
6079|//item.ssgcdn.com/46/44/49/item/1000060494446_i1_290.jpg
6080|//item.ssgcdn.com/29/14/98/item/1000052981429_i1_290.jpg
6081|//item.ssgcdn.com/90/68/31/item/1000054316890_i1_290.jpg
6082|//item.ssgcdn.com/68/62/03/item/1000058036268_i1_290.jpg
6083|//item.ssgcdn.com/55/39/98/item/1000061983955_i1_290.jpg
6084|//item.ssgcdn.com/23/93/25/item/1000065259323_i1_290.jpg
6085|//item.ssgcdn.com/42/46/18/item/1000067184642_i1_290.jpg
6086|//item.ssgcdn.com/42/21/99/item/1000040992142_i1_290.jpg
6087|//item.ssgcdn.com/27/91/97/item/1000027979127_i1_290.jpg
6088|//item.ssgcdn.com/31/62/34/item/1000062346231_i1_290.jpg
6089|//item.ssgcdn.com/67/45/95/item/1000055954567_i1_290.jpg
6090|//item.ssgcdn.com/05/95/99/item/1000065999505_i1_290.jpg
6091|//item.ssgcdn.com/88/05/59/item/1000036590588_i1_290.jpg
6092|//item.ssgcdn.com/00/59/52/item/1000067525900_i1_290.jpg
6093|//item.ssgcdn.com/56/21/63/item/1000064632156_i1_290.jpg
6094|//item.ssgcdn.com/64/09/33/item/1000049330964_i1_290.jpg
6095|//item.ssgcdn.com/73/27/87/item/1000060872773_i1_290.jpg
6096|//item.ssgcdn.com/80/04/21/item/1000052210480_i1_290.jpg
6097|//item.ssgcdn.com/16/97/32/item/1000032329716_i1_290.jpg
6098|//item.ssgcdn.com/18/04/89/item/1000033890418_i1_290.jpg
6099|//item.ssgcdn.com/05/32/02/item/1000064023205_i1_290.jpg
6100|//item.ssgcdn.com/13/04/17/item/1000064170413_i1_290.jpg
6101|//item.ssgcdn.com/22/52/11/item/1000052115222_i1_290.jpg
6102|//item.ssgcdn.com/79/18/77/item/1000052771879_i1_290.jpg
6103|//item.ssgcdn.com/05/62/27/item/1000065276205_i1_290.jpg
6104|//item.ssgcdn.com/25/96/16/item/1000064169625_i1_290.jpg
6105|//item.ssgcdn.com/36/69/12/item/1000067126936_i1_290.jpg
6106|//item.ssgcdn.com/66/67/72/item/1000066726766_i1_290.jpg
6107|//item.ssgcdn.com/74/96/13/item/1000068139674_i1_290.jpg
6108|//item.ssgcdn.com/11/86/64/item/1000065648611_i1_290.jpg
6109|//item.ssgcdn.com/88/88/04/item/1000035048888_i1_290.jpg
6110|//item.ssgcdn.com/57/00/41/item/1000064410057_i1_290.jpg
6111|//item.ssgcdn.com/57/73/30/item/1000032307357_i1_290.jpg
6112|//item.ssgcdn.com/27/75/63/item/1000064637527_i1_290.jpg
6113|//item.ssgcdn.com/28/23/85/item/1000041852328_i1_290.jpg
6114|//item.ssgcdn.com/06/57/65/item/1000066655706_i1_290.jpg
6115|//item.ssgcdn.com/30/79/19/item/1000069197930_i1_290.jpg
6116|//item.ssgcdn.com/28/46/90/item/1000064904628_i1_290.jpg
6117|//item.ssgcdn.com/54/58/03/item/1000064035854_i1_290.jpg
6118|//item.ssgcdn.com/04/29/41/item/1000056412904_i1_290.jpg
6119|//item.ssgcdn.com/44/58/03/item/1000064035844_i1_290.jpg
6120|//item.ssgcdn.com/54/69/31/item/1000054316954_i1_290.jpg
6121|//item.ssgcdn.com/19/04/89/item/1000033890419_i1_290.jpg
6122|//item.ssgcdn.com/70/22/80/item/1000044802270_i1_290.jpg
6123|//item.ssgcdn.com/21/89/90/item/1000066908921_i1_290.jpg
6124|//item.ssgcdn.com/07/79/19/item/1000069197907_i1_290.jpg
6125|//item.ssgcdn.com/17/29/67/item/1000025672917_i1_290.jpg
6126|//item.ssgcdn.com/94/01/45/item/1000040450194_i1_290.jpg
6127|//item.ssgcdn.com/62/74/87/item/1000053877462_i1_290.jpg
6128|//item.ssgcdn.com/34/53/06/item/1000040065334_i1_290.jpg
6129|//item.ssgcdn.com/79/49/99/item/1000051994979_i1_290.jpg
6130|//item.ssgcdn.com/90/66/13/item/1000056136690_i1_290.jpg
6131|//item.ssgcdn.com/35/33/39/item/1000068393335_i1_290.jpg
6132|//item.ssgcdn.com/65/76/99/item/1000028997665_i1_290.jpg
6133|//item.ssgcdn.com/87/50/58/item/1000066585087_i1_290.jpg
6134|//item.ssgcdn.com/33/44/29/item/1000068294433_i1_290.jpg
6135|//item.ssgcdn.com/31/29/54/item/1000062542931_i1_290.jpg
6136|//item.ssgcdn.com/44/57/83/item/1000063835744_i1_290.jpg
6137|//item.ssgcdn.com/31/31/93/item/1000042933131_i1_290.jpg
6138|//item.ssgcdn.com/44/73/30/item/1000032307344_i1_290.jpg
6139|//item.ssgcdn.com/68/43/78/item/1000064784368_i1_290.jpg
6140|//item.ssgcdn.com/89/96/66/item/1000059669689_i1_290.jpg
6141|//item.ssgcdn.com/44/03/72/item/1000053720344_i1_290.jpg
6142|//item.ssgcdn.com/05/15/35/item/1000058351505_i1_290.jpg
6143|//item.ssgcdn.com/85/51/74/item/1000063745185_i1_290.jpg
6144|//item.ssgcdn.com/91/49/87/item/1000060874991_i1_290.jpg
6145|//item.ssgcdn.com/65/18/76/item/1000057761865_i1_290.jpg
6146|//item.ssgcdn.com/55/94/36/item/1000062369455_i1_290.jpg
6147|//item.ssgcdn.com/80/92/13/item/1000068139280_i1_290.jpg
6148|//item.ssgcdn.com/66/99/89/item/1000068899966_i1_290.jpg
6149|//item.ssgcdn.com/92/75/54/item/1000062547592_i1_290.jpg
6150|//item.ssgcdn.com/62/57/39/item/1000068395762_i1_290.jpg
6151|//item.ssgcdn.com/67/53/05/item/1000069055367_i1_290.jpg
6152|//item.ssgcdn.com/08/95/43/item/1000060439508_i1_290.jpg
6153|//item.ssgcdn.com/49/16/50/item/1000068501649_i1_290.jpg
6154|//item.ssgcdn.com/79/84/57/item/1000055578479_i1_290.jpg
6155|//item.ssgcdn.com/55/92/87/item/1000049879255_i1_290.jpg
6156|//item.ssgcdn.com/51/37/30/item/1000023303751_i1_290.jpg
6157|//item.ssgcdn.com/60/49/78/item/1000029784960_i1_290.jpg
6158|//item.ssgcdn.com/76/54/25/item/1000033255476_i1_290.jpg
6159|//item.ssgcdn.com/88/62/77/item/1000005776288_i1_290.jpg
6160|//item.ssgcdn.com/26/13/97/item/1000040971326_i1_290.jpg
6161|//item.ssgcdn.com/04/24/68/item/1000030682404_i1_290.jpg
6162|//item.ssgcdn.com/54/26/68/item/1000030682654_i1_290.jpg
6163|//item.ssgcdn.com/63/67/42/item/1000057426763_i1_290.jpg
6164|//item.ssgcdn.com/43/25/06/item/1000031062543_i1_290.jpg
6165|//item.ssgcdn.com/01/81/42/item/1000057428101_i1_290.jpg
6166|//item.ssgcdn.com/00/44/14/item/1000030144400_i1_290.jpg
6167|//item.ssgcdn.com/50/14/61/item/1000031611450_i1_290.jpg
6168|//item.ssgcdn.com/07/32/75/item/1000054753207_i1_290.jpg
6169|//item.ssgcdn.com/39/46/26/item/1000037264639_i1_290.jpg
6170|//item.ssgcdn.com/23/15/61/item/1000031611523_i1_290.jpg
6171|//item.ssgcdn.com/01/00/45/item/1000040450001_i1_290.jpg
6172|//item.ssgcdn.com/31/37/53/item/1000020533731_i1_290.jpg
6173|//item.ssgcdn.com/49/87/23/item/1000038238749_i1_290.jpg
6174|//item.ssgcdn.com/56/80/59/item/1000069598056_i1_290.jpg
6175|//item.ssgcdn.com/30/21/43/item/1000069432130_i1_290.jpg
6176|//item.ssgcdn.com/82/04/56/item/1000069560482_i1_290.jpg
6177|//item.ssgcdn.com/87/04/56/item/1000069560487_i1_290.jpg
6178|//item.ssgcdn.com/18/40/63/item/1000069634018_i1_290.jpg
6179|//item.ssgcdn.com/17/78/70/item/1000068707817_i1_290.jpg
6180|//item.ssgcdn.com/71/35/83/item/1000069833571_i1_290.jpg
6181|//item.ssgcdn.com/23/83/84/item/1000069848323_i1_290.jpg
6182|//item.ssgcdn.com/84/47/66/item/1000069664784_i1_290.jpg
6183|//item.ssgcdn.com/05/27/65/item/1000069652705_i1_290.jpg
6184|//item.ssgcdn.com/53/54/65/item/1000069655453_i1_290.jpg
6185|//item.ssgcdn.com/41/24/70/item/1000069702441_i1_290.jpg
6186|//item.ssgcdn.com/21/17/82/item/1000069821721_i1_290.jpg
6187|//item.ssgcdn.com/91/81/43/item/1000069438191_i1_290.jpg
6188|//item.ssgcdn.com/08/28/59/item/1000069592808_i1_290.jpg
6189|//item.ssgcdn.com/06/21/43/item/1000069432106_i1_290.jpg
6190|//item.ssgcdn.com/20/27/64/item/1000069642720_i1_290.jpg
6191|//item.ssgcdn.com/81/36/64/item/1000069643681_i1_290.jpg
6192|//item.ssgcdn.com/80/90/14/item/1000044149080_i1_290.jpg
6193|//item.ssgcdn.com/82/79/85/item/1000069857982_i1_290.jpg
6194|//item.ssgcdn.com/30/66/85/item/1000069856630_i1_290.jpg
6195|//item.ssgcdn.com/81/33/86/item/1000069863381_i1_290.jpg
6196|//item.ssgcdn.com/36/84/83/item/1000069838436_i1_290.jpg
6197|//item.ssgcdn.com/86/88/83/item/1000069838886_i1_290.jpg
6198|//item.ssgcdn.com/39/61/85/item/1000069856139_i1_290.jpg
6199|//item.ssgcdn.com/26/47/85/item/1000069854726_i1_290.jpg
