is_item_no | is_item_name | is_category_main | is_category_sub | is_cool_price | is_content | is_end_date | is_auction_price
6003|[루플랫][해외배송] 남성 백 Black 534974 9RP1E1000 /48|패션잡화-200|남성가방-20010|844000|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-8|548600
6004|[루플랫][해외배송] 남성 백 Black 533232 GIV3F1000 /48|패션잡화-200|남성가방-20010|844000|하자 1도 없습니다. 빠른거래 ㄱㄱ|2021-06-27|548600
6005|생로랑 CROSS-BODY BAG SMALL SID 5817009W0BD/H|패션잡화-200|남성가방-20010|807622|착용 잘 안해서 싸게 팝니다.|2021-06-16|524954
6006|[TUMI KOREA] 해리슨 윌리엄 백팩_06602010D|패션잡화-200|남성가방-20010|513300|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-3|333645
6007|[GG 엠보스] 서류 가방|패션잡화-200|남성가방-20010|3100000|오늘같은 날씨에 딱입니다 ㅎㅎㅎㅎ 연락주세용|2021-06-1|2015000
6008|LOGO DETAIL FLAT LEATHER POUCH 397294DZE0E_1000|패션잡화-200|남성가방-20010|645050|상태 괜찮습니다. 입찰해주세요|2021-06-30|419282
6009|[르메르] 스몰 BG253 LL095 000 공용 크루아상백/범백|패션잡화-200|남성가방-20010|1450508|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-12|942830
6010|[보테가베네타] 406021 V4651 4013 인트레치아토 도큐먼트 케이스|패션잡화-200|남성가방-20010|1397353|신용보장합니당. 거래주세요|2021-06-14|908279
6011|[루플랫][해외배송] 남성 백 581374 HO21Z1054 NERO/ARGENTO/NE/NER /48|패션잡화-200|남성가방-20010|946000|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-25|614900
6012|[루플랫][해외배송] 남성 백 Black 587273 CWTFE1000 /48|패션잡화-200|남성가방-20010|1883000|신용보장합니당. 거래주세요|2021-06-10|1223950
6013|프라다 남성 로고 사피아노 블랙 클러치백 2NH005 PN9 F0002|패션잡화-200|남성가방-20010|1013311|연락주세요. 예뻐요|2021-06-22|658652
6014|톰브라운 남성 삼선탭 페블 도큐멘트 블랙 클러치백 MAC074A 00198 001|패션잡화-200|남성가방-20010|834394|색깔별로 소유하고있습니다. 문의 주세요!!|2021-06-21|542356
6015|[발렌시아가] 20FW 여성 에브리데이 벨트백 (552375_DLQ4N_1000_20F)|패션잡화-200|남성가방-20010|1104000|중고지만, 저얼대 하자없어요. 새거 그자체입니다.|2021-06-17|717600
6016|투미 TUMI 2603182D3 (1173461041) Alpha3 알파3 슬림 쓰리 웨이 서류가방 겸 백팩|패션잡화-200|남성가방-20010|396022|중고지만, 저얼대 하자없어요. 새거 그자체입니다.|2021-06-4|257414
6017|멀버리 슬림 시티 브리프케이스 HB5119/736Q662|패션잡화-200|남성가방-20010|1339000|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-14|870350
6018|발렌티노 남성 VTNL 로고 프린트 스트랩 블랙 벨트백 VY2B0664 RPY 0NO|패션잡화-200|남성가방-20010|622498|가성비 킹입니다!!!|2021-06-4|404623
6019|아페쎄 남성 로고 프린팅 메쉬 블랙 토트백 PSAEU M61453 LZZ|패션잡화-200|남성가방-20010|78328|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-28|50913
6020|[해외배송] 생로랑 로고 클러치 530013_BTY0N1000|패션잡화-200|남성가방-20010|696072|어쩌다 하나 더 가지게 되어 싸게 팔아요|2021-06-20|452446
6021|[펜디] 로고 메신저 7VA470 AFB4 F1DZA 숄더백|패션잡화-200|남성가방-20010|1362072|선선한 날씨에 입기 좋습니다.|2021-06-8|885346
6022|접이식 라지 토트백|패션잡화-200|남성가방-20010|2270000| 싸게 팝니다|2021-06-28|1475500
6023|[해외배송] 꼼데가르송 로고 쇼퍼백 SA9001HL|패션잡화-200|남성가방-20010|428352|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-9|278428
6024|[해외배송] 생로랑 로고 벨트백 블랙 581375 HO21Z1054|패션잡화-200|남성가방-20010|717490|사이즈가 작아서 팔아요!! 연락주세요|2021-06-15|466368
6025|[해외배송] 생로랑 브리프 케이스 비즈니스백 609263KJX5E1000|패션잡화-200|남성가방-20010|1503694|색깔별로 소유하고있습니다. 문의 주세요!!|2021-06-18|977401
6026|[해외배송] 생로랑 YSL 로고 파우치 5813699J58E9273|패션잡화-200|남성가방-20010|529194|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-14|343976
6027|아페쎄 남성 악셀 데님 브라운 토트백 CODDP M61444 CAF　|패션잡화-200|남성가방-20010|245701| 싸게 팝니다|2021-06-6|159705
6028|[해외배송] 생로랑 리브고쉬 클러치백 화이트 581369 9J58E9273|패션잡화-200|남성가방-20010|538118|하자 1도 없습니다. 빠른거래 ㄱㄱ|2021-06-30|349776
6029|[몽블랑] 116754 사토리얼 돔 백팩 라지(블랙)|패션잡화-200|남성가방-20010|813830|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-11|528989
6030|[해외배송] 생로랑 NUXX 벨트백 581375 03UOZ 1000|패션잡화-200|남성가방-20010|1122640|사이즈가 작아서 팔아요!! 연락주세요|2021-06-16|729716
6031|투미 TUMI 232304D (0232304D/1032981041) / Alpha Bravo 알파 브라보 아놀드 지퍼 플랩 크로스백|패션잡화-200|남성가방-20010|269728|오늘같은 날씨에 딱입니다 ㅎㅎㅎㅎ 연락주세용|2021-06-17|175323
6032|[부산점] [노벨라] [발렌시아가] 21SS 남녀공용 익스플로러 벨트백 (482389_2HF7X_1000_21S)|패션잡화-200|남성가방-20010|940000|행운을 불러주는 옷입니당 많이들 입찰해주세용|2021-06-23|611000
6033|SMALL POUCH YSL 남성 클러치/파우치 636329 1JB0E|패션잡화-200|남성가방-20010|445133|없어서 못사는 옷입니다. 연락주세요|2021-06-27|289336
6034|21SS 해외명품 Luxe Best Sellers|패션잡화-200|남성가방-20010|876000|어쩌다 하나 더 가지게 되어 싸게 팔아요|2021-06-19|569400
6035|질샌더 남성 탱글 블랙 숄더백 JSMS853173 MSB00035N 001|패션잡화-200|남성가방-20010|619200|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-29|402480
6036|[해외배송] 질샌더 탱글 숄더백 블랙 JSMS853172-MSB00035N 001|패션잡화-200|남성가방-20010|922742|입찰 많이들 해주십쇼|2021-06-5|599782
6037|톰브라운 남성 삼선탭 블랙 클러치백 MAC021L 00198 001　|패션잡화-200|남성가방-20010|651355|정가보다 엄청 싼 가격입니다 연락주세요|2021-06-7|423380
6038|투미 TUMI 232304D (0232304D/1032981041) / Alpha Bravo 알파 브라보 아놀드 지퍼 플랩 크로스백|패션잡화-200|남성가방-20010|269728|정가보다 엄청 싼 가격입니다 연락주세요|2021-06-27|175323
6039|[몽블랑] 124082 마이스터스튁 어반 클러치|패션잡화-200|남성가방-20010|668330|ㅍㅍㅍㅍ편하게 연락주셈|2021-06-11|434414
6040|LOGO DUFFLE BAG 남성 숄더/크로스백 581374HO21Z1054|패션잡화-200|남성가방-20010|1287481|상태 괜찮습니다. 입찰해주세요|2021-06-10|836862
6041|COACH 코치가방 폴도버 셀레셜스터드 크로스바디 클러치 F30050 IMA55|패션잡화-200|남성가방-20010|127000|선선한 날씨에 입기 좋습니다.|2021-06-20|82550
6042|[해외배송] 메종마르지엘라 지퍼 클러치 S55UI0193_P0399T8013|패션잡화-200|남성가방-20010|337328|엄청아끼는건데 돈이 급해서 급처해요ㅠㅠㅠ|2021-06-21|219263
6043|LOGO MAXI TOTE BAG 남성 토트백 565736 CWTBD|패션잡화-200|남성가방-20010|1732032|신상입니다. 그래도 정가보다 싸게팔아요|2021-06-14|1125820
6044|RIVE GAUCHE BAG 남성 토트백 63253996N9E1070|패션잡화-200|남성가방-20010|1164873|착용 잘 안해서 싸게 팝니다.|2021-06-13|757167
6045|SHOPPING BAG WITH LOGO 남성 토트백 591747_CSU1N2480|패션잡화-200|남성가방-20010|1326087|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-19|861956
6046|SAC DE JOUR NORTH / SOUTH BAG 남성 토트백 647168_DTI0E1000|패션잡화-200|남성가방-20010|2888466|입찰 많이들 해주십쇼|2021-06-7|1877502
6047|SMALL CAMERA CAMP BAG 남성 숄더/크로스백 647179_1EL0E1000|패션잡화-200|남성가방-20010|1232773|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-7|801302
6048|CAMERA BAG CAMP 남성 숄더/크로스백 644276_2NC3Z1000|패션잡화-200|남성가방-20010|1232773|옷감이 너무 좋아여ㅎㅎㅎ 구매들 해주세용|2021-06-12|801302
6049|RIVE GAUCHE POUCH 남성 클러치/파우치 58136996NAD1070|패션잡화-200|남성가방-20010|510026|착용 딱 1번했어요. 사이즈체크할때...|2021-06-21|331516
6050|DOCUMENT HOLDER WITH LOGO 남성 클러치/파우치 530013_BTY0N1000|패션잡화-200|남성가방-20010|609742|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-30|396332
6051|RIVE GAUCHE CLUTCH 남성 클러치/파우치 581369_96NAE2463|패션잡화-200|남성가방-20010|615465|연락주세요. 예뻐요|2021-06-19|400052
6052|MONOGRAM TABLET HOLDER 남성 숄더/크로스백 607779_02G0W1000|패션잡화-200|남성가방-20010|671046|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-13|436179
6053|DOCUMENT HOLDER WITH LOGO 남성 클러치/파우치 530013_BTY0N1000|패션잡화-200|남성가방-20010|701213|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-25|455788
6054|I-PAD CASE 남성 숄더/크로스백 453249_C9H0U1000|패션잡화-200|남성가방-20010|738946|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-10|480314
6055|POUCH WITH LOGO 남성 클러치/파우치 607782_02G0W1000|패션잡화-200|남성가방-20010|806846|오늘같은 날씨에 딱입니다 ㅎㅎㅎㅎ 연락주세용|2021-06-8|524449
6056|[파주점] [s 스타일] 구찌 시그니처 클러치 (473881 DMT1N 1000)|패션잡화-200|남성가방-20010|1448500|행운을 불러주는 옷입니당 많이들 입찰해주세용|2021-06-9|941525
6057|생로랑 BLACK CANVAS RIVE GAUCHE N/S BAG 63253996N9E/H|패션잡화-200|남성가방-20010|1377012|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-14|895057
6058|마르지엘라 21SS 블랙 스티치 파우치 클러치 S55UI0192 P0399 T8013|패션잡화-200|남성가방-20010|357833|연락주세요. 예뻐요|2021-06-5|232591
6059|LOGO POUCH BAG 남성 클러치/파우치 397294BTY0N1000|패션잡화-200|남성가방-20010|510026|착용 잘 안해서 싸게 팝니다.|2021-06-24|331516
6060|[해외배송] 생로랑 로고 클러치백 397294_BTY0N1000|패션잡화-200|남성가방-20010|618434|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-14|401982
6061|[해외배송] 생로랑 모노그램 클러치백 607779 02G0W 1000 NERO|패션잡화-200|남성가방-20010|797806|선선한 날씨에 입기 좋습니다.|2021-06-22|518573
6062|[해외배송] 생로랑 나일론 트레벨 토트백 581374HO21Z1054|패션잡화-200|남성가방-20010|1011090|상태 괜찮습니다. 입찰해주세요|2021-06-26|657208
6063|[해외배송] 생로랑 나일론 더플백 581374 HO21Z 1054|패션잡화-200|남성가방-20010|1061064|ㅍㅍㅍㅍ편하게 연락주셈|2021-06-1|689691
6064|[해외배송] 생로랑 크로크 벨트백 505671 DZEKE1000|패션잡화-200|남성가방-20010|1135133| 싸게 팝니다|2021-06-16|737836
6065|프라다 남성 사피아노 로고 파우치 2NH005 PN9 F0002|패션잡화-200|남성가방-20010|1051325|사이즈가 작아서 팔아요!! 연락주세요|2021-06-15|683361
6066|[해외배송] 생로랑 리브 고쉬 파우치 58136996NAD1070|패션잡화-200|남성가방-20010|440846|중고지만, 저얼대 하자없어요. 새거 그자체입니다.|2021-06-20|286549
6067|5817009W0BD1000 남성 숄더/크로스백 A20 A20|패션잡화-200|남성가방-20010|838565|상태 괜찮습니다. 입찰해주세요|2021-06-11|545067
6068|[해외직구] 21SS 발리 SONNI 벨트 백 SONNI.OF/06 6230621 라운지에스|패션잡화-200|남성가방-20010|315250|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-16|204912
6069|[해외배송] 생로랑 로고 나일론 벨트백 581375HO21Z1054|패션잡화-200|남성가방-20010|635389|신상입니다. 그래도 정가보다 싸게팔아요|2021-06-29|413002
6070|[해외배송] 생로랑 모노그램 태블릿 홀더 4532490SX0E1000|패션잡화-200|남성가방-20010|611294|선선한 날씨에 입기 좋습니다.|2021-06-13|397341
6071|[해외배송] 생로랑 로고 쇼핑백 591747_CSU1N2480|패션잡화-200|남성가방-20010|1264531|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-18|821945
6072|[해외배송] 생로랑 자이언트 볼링 토트백 649646_DTI0E1000|패션잡화-200|남성가방-20010|2401449|하자 1도 없습니다. 빠른거래 ㄱㄱ|2021-06-28|1560941
6073|[해외배송] 생로랑 리브고쉬 토트백 509415/96N9E 2463|패션잡화-200|남성가방-20010|1395714|싸게팝니다|2021-06-22|907214
6074|557831GIVLE 1000 남성 숄더/크로스백|패션잡화-200|남성가방-20010|844385|상태 괜찮습니다. 입찰해주세요|2021-06-4|548850
6075|[디스토어] 톰 브라운 시그니처 그로그램 클러치백 35 블랙 MAC021L00198001|패션잡화-200|남성가방-20010|847586|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-17|550930
6076|[해외배송] 생로랑 모노그램 태블릿 케이스 453249_0SX0E1000|패션잡화-200|남성가방-20010|759433|없어서 못사는 옷입니다. 연락주세요|2021-06-2|493631
6077|[해외배송] 생로랑 시드 파우치 캔버스 숄더백 5817009W0BD1000|패션잡화-200|남성가방-20010|787097|싸게팝니다|2021-06-18|511613
6078|[해외배송] 생로랑 스몰 카메라 캠프 숄더백 647179_1EL0E1000|패션잡화-200|남성가방-20010|1179753|어어어엄청 편해요|2021-06-5|766839
6079|발렌시아가 여성 카바스 베이지 토트백 390346 2HH3N 9260|패션잡화-200|여성가방-20001|1024029|입찰 많이들 해주십쇼|2021-06-29|665618
